customer_id,age,gender,annual_income,education,marital_status,city,state,country,postal_code,signup_date,purchase_frequency,avg_purchase_value,total_spent,days_since_last_purchase,favorite_payment_method,electronics_score,clothing_score,home_decor_score,beauty_score,sports_score,books_score,food_score,website_visits_per_month,avg_session_duration,mobile_app_usage,desktop_usage,items_viewed_per_visit,cart_abandonment_rate,email_engagement_rate,support_tickets,satisfaction_score,Recency,Frequency,Monetary
89f298a6,42,1,173949,3,0,682,30,0,63019,2020-11-17,18,15.0,270.0,101,0,45,53,49,27,30,36,31,5,28.24,100,10,14,31,61,1,8.4,9,11,154.14
aad2fff7,65,0,44592,2,2,362,14,0,7091,2021-12-31,7,49.14,343.95,62,4,91,68,61,90,63,69,62,6,17.34,56,42,4,51,30,3,5.1,8,11,540.06
1dcc9643,74,2,53124,0,2,796,56,0,48852,2021-10-20,2,47.65,95.3,11,0,79,78,75,62,58,55,62,5,2.24,25,70,1,77,35,2,5.1,120,11,507.51
12ef1a34,47,0,42211,2,2,2,13,0,64752,2022-09-15,7,30.29,212.02,80,4,10,40,19,38,22,14,28,1,10.21,85,12,9,61,50,0,6.3,43,12,363.44
f8898103,28,0,29026,4,0,389,22,0,37156,2021-11-05,10,15.0,150.0,104,1,33,68,52,39,41,49,40,1,9.79,95,5,8,71,50,2,6.1,37,10,173.21
d810058a,36,2,84548,0,0,569,23,0,16171,2024-02-19,5,33.68,168.42,88,1,70,86,85,70,57,59,94,8,16.59,40,48,16,25,61,0,8.2,32,8,298.13
432aba84,39,1,20703,1,1,437,14,0,7235,2021-02-12,9,15.0,135.0,57,4,72,80,45,52,49,54,79,8,12.03,4,100,6,57,11,4,6.2,5,7,86.93
145e335d,27,0,26978,0,2,524,57,0,27736,2023-07-19,11,15.0,165.0,47,2,79,70,72,63,79,92,83,6,14.42,91,0,19,54,66,3,5.9,140,13,198.38
94dc73b7,69,1,35947,3,2,746,51,0,40358,2024-04-08,4,15.0,60.0,95,5,76,65,67,60,56,74,52,1,12.43,82,10,1,42,0,2,4.9,106,9,149.88
c69d8fa4,40,0,46941,0,1,403,44,0,21580,2025-02-21,12,74.69,896.22,85,3,46,42,29,42,47,57,50,2,11.13,74,32,13,59,38,1,6.7,10,4,251.48
f87cfbd3,25,0,47890,0,0,16,38,0,92022,2025-01-22,3,18.54,55.61,14,4,49,47,54,65,59,34,51,1,4.15,85,8,6,55,0,1,6.4,9,6,105.57000000000001
5304bd65,63,0,77443,2,1,398,52,0,39633,2023-03-27,7,68.83,481.83,56,2,81,99,80,67,79,92,79,4,21.47,66,35,7,60,41,1,6.6,27,13,950.79
786e177b,53,1,56165,0,3,819,10,0,10308,2021-07-19,4,15.0,60.0,49,1,58,86,83,66,72,82,47,2,19.79,26,72,11,54,59,0,6.6,100,12,223.3
2cd6d119,56,2,196254,1,3,529,15,0,70122,2022-10-19,11,71.69,788.55,57,1,45,43,23,18,31,45,53,3,15.04,53,35,10,6,64,1,7.8,207,14,1175.09
f4f81ab6,32,1,72775,0,2,256,44,0,63836,2025-01-06,8,39.4,315.17,32,0,43,68,65,79,75,51,63,7,19.02,46,44,1,39,40,1,7.7,8,14,575.53
6fe976ac,75,1,33875,3,1,598,23,0,98474,2024-04-15,2,24.83,49.67,103,1,62,36,68,48,40,62,41,1,10.58,86,26,1,75,0,3,4.6,37,14,339.09000000000003
9f218fd6,38,0,79900,4,3,86,36,0,3781,2020-08-13,6,37.63,225.8,117,4,38,58,56,44,43,68,45,6,14.08,82,28,14,42,39,2,8.0,392,7,310.19
39a24893,35,0,92555,2,0,703,20,0,4789,2023-12-17,10,38.36,383.58,35,5,54,25,28,29,34,44,29,8,26.12,62,32,14,27,63,2,8.8,0,14,559.02
7c2b3797,39,2,70916,3,3,586,40,0,27653,2024-12-04,9,28.6,257.43,27,0,61,25,60,48,54,24,46,6,24.3,31,73,9,39,36,2,7.9,5,15,450.44
70cce195,65,2,73623,4,1,198,36,0,59257,2022-07-16,8,87.21,697.68,29,5,58,28,51,48,52,37,56,3,21.89,100,15,11,55,43,0,6.1,15,8,612.21
40a5a780,43,2,153432,4,2,204,44,0,86315,2024-10-21,10,87.03,870.29,83,0,37,19,11,24,32,28,21,11,20.21,45,56,11,26,22,1,8.5,15,10,898.04
7c48a528,66,0,31414,1,2,629,21,0,79197,2022-08-21,4,15.0,60.0,3,1,37,56,48,38,36,35,49,1,11.2,9,89,3,76,0,1,4.7,222,2,31.35
8ae69396,33,1,36005,3,2,575,30,0,55529,2022-02-10,7,48.67,340.68,28,0,60,67,54,82,82,51,54,4,13.27,89,11,6,41,37,2,6.4,51,12,610.1899999999999
5fed7948,37,2,21180,3,3,729,4,0,29404,2021-04-07,7,15.0,105.0,26,2,77,52,43,56,75,44,73,1,14.36,79,28,4,52,32,0,6.2,248,8,131.12
ec84fdda,60,0,85891,2,0,92,23,0,23028,2025-03-16,5,15.0,75.0,109,0,83,58,79,75,92,81,61,5,8.12,49,66,12,60,29,0,7.0,0,12,142.74
bd66c34d,57,2,25981,3,3,408,57,0,76453,2022-10-31,6,75.27,451.62,106,1,54,57,52,42,54,65,52,4,13.57,83,33,5,53,50,0,5.2,57,12,947.72
00da5470,39,1,69836,3,0,845,48,0,25173,2024-04-03,8,15.0,120.0,63,3,38,43,39,60,39,57,22,7,25.24,47,40,19,32,55,1,7.6,66,8,121.06
347528f9,64,0,72534,3,1,182,58,0,83192,2021-05-27,3,15.0,45.0,61,1,76,73,46,50,63,59,70,3,17.42,68,38,2,64,0,3,6.3,27,12,165.46
96ea9ed7,48,2,81128,4,0,151,56,0,64237,2022-11-21,6,15.0,90.0,96,4,43,50,38,40,37,35,28,8,6.73,72,20,16,29,36,2,7.8,23,6,81.82
fa6ab058,66,2,79213,0,1,966,24,0,61975,2024-01-23,8,64.31,514.48,95,0,54,50,55,35,23,29,35,4,7.99,17,76,14,51,49,2,6.3,34,7,307.83
b351ca42,63,2,29656,0,0,949,31,0,7481,2025-01-07,2,35.78,71.56,7,4,26,58,49,24,18,54,36,2,8.91,50,53,1,51,39,3,4.8,29,10,396.47
e894289a,21,0,85537,3,2,571,5,0,15031,2020-08-31,14,41.96,587.46,9,0,35,67,71,34,40,40,67,4,11.01,86,2,7,26,68,2,7.5,7,16,596.99
c4cdaa22,53,0,97945,4,1,644,8,0,6312,2020-12-04,17,35.57,604.63,67,0,56,47,65,55,47,64,67,9,20.19,0,89,12,29,85,0,7.8,255,9,363.14
2eb599da,34,2,49677,2,1,654,9,0,48738,2023-12-06,9,15.0,135.0,23,4,14,4,30,32,42,34,22,9,7.35,2,95,4,61,23,1,7.3,152,8,147.01
4a499c7b,22,2,84743,0,0,357,46,0,57509,2020-11-09,16,15.0,240.0,102,1,49,64,44,71,51,46,54,8,20.16,74,8,10,30,68,2,7.6,185,10,137.44
d740e34a,68,0,65877,4,0,481,28,0,41708,2022-10-24,9,29.11,262.01,16,0,63,69,61,76,78,75,72,5,17.43,0,94,2,55,18,1,5.9,2,9,272.49
87a7765a,56,0,45276,2,2,434,58,0,47882,2023-12-29,2,38.89,77.77,87,4,38,54,73,39,48,67,70,4,1.86,63,29,1,64,14,1,6.1,11,9,353.56
5b2cd5ed,45,2,67636,3,2,836,53,0,7764,2022-08-22,12,20.82,249.84,45,0,41,27,31,42,47,52,39,2,11.86,68,40,19,44,70,1,7.1,36,16,336.81
2d07a5be,47,1,71066,1,0,431,4,0,4219,2023-06-18,10,51.47,514.69,15,0,87,55,89,84,81,58,67,5,9.04,60,53,14,37,65,1,7.4,218,7,331.65
e8169997,66,1,54912,0,0,14,39,0,74117,2022-03-13,6,15.0,90.0,17,5,59,35,29,68,66,43,38,2,22.08,21,75,6,64,62,0,5.7,5,10,158.75
5743ad9d,23,1,66449,2,3,308,0,0,12303,2024-08-13,3,15.0,45.0,83,3,49,63,48,57,61,61,46,5,19.63,39,56,13,54,20,3,7.0,44,10,119.66
4e0b4511,56,2,101192,0,2,170,27,0,44945,2023-09-23,9,25.19,226.74,99,0,53,38,21,39,40,58,58,5,20.56,100,0,9,45,90,1,7.9,118,7,172.29
b15ada54,52,0,61023,1,0,917,31,0,77008,2022-03-07,3,36.77,110.32,98,4,53,44,36,39,60,48,38,6,3.64,88,5,17,53,66,3,6.6,8,14,528.13
6aaf4ab5,65,0,89344,3,3,861,39,0,80648,2021-07-21,8,40.21,321.71,102,1,40,11,17,41,46,30,15,6,3.46,91,5,10,33,45,2,7.1,283,8,354.07
d3dc2e6a,47,1,31340,0,3,266,56,0,38381,2020-05-23,5,62.66,313.3,84,3,34,20,25,43,29,9,25,2,9.14,92,16,13,65,0,1,5.9,62,12,758.45
4b35f214,58,2,91449,3,2,550,22,0,94526,2021-10-24,8,74.95,599.63,9,3,58,54,45,67,46,80,46,3,19.74,43,45,10,49,2,0,7.2,19,11,730.26
0c1d9fc3,38,1,64194,1,0,578,22,0,37799,2023-03-05,8,53.37,427.0,56,3,48,41,51,26,25,26,20,5,15.76,62,48,12,60,54,2,7.5,170,8,336.83
5475bf9e,49,2,96905,0,1,54,8,0,63081,2022-09-09,11,52.62,578.84,82,5,45,29,58,47,63,39,33,8,19.86,45,63,15,47,62,1,8.1,9,7,377.58
39655a85,58,0,52993,1,3,725,45,0,62213,2020-07-14,9,57.59,518.29,39,3,54,30,39,48,60,46,60,4,4.71,28,60,6,33,21,0,6.1,4,9,546.55
97322e26,35,1,136081,4,2,789,35,0,74413,2021-11-16,13,80.29,1043.83,96,0,71,67,91,75,67,93,65,7,29.86,56,47,28,57,77,1,8.8,71,7,569.74
4029276c,75,2,87506,2,0,449,8,0,86161,2020-11-07,5,38.65,193.23,57,2,60,45,42,55,57,63,48,3,12.23,27,80,14,68,0,1,6.4,135,10,412.88
797d805c,50,0,36635,0,0,130,43,0,4901,2020-08-26,5,21.17,105.85,62,5,68,54,76,51,56,61,72,5,11.09,100,4,4,57,38,2,5.7,124,8,191.51
9094e727,68,0,76866,2,0,636,26,0,84821,2022-04-08,10,15.0,150.0,16,0,39,60,47,63,46,29,37,6,19.83,56,59,17,28,41,1,6.3,10,11,142.34
b4f74298,57,1,70066,2,3,573,50,0,79795,2021-05-06,8,33.29,266.3,39,1,33,34,28,28,45,57,33,3,11.1,16,84,4,41,12,0,6.8,83,11,375.87
f983c12c,47,0,40965,4,3,702,57,0,42474,2021-12-25,12,31.25,374.94,96,1,35,15,40,48,35,26,11,4,9.56,65,34,12,36,40,2,6.3,32,14,417.9
07a7c7e9,33,0,103327,2,0,468,13,0,88085,2022-03-22,18,67.44,1213.93,116,1,25,47,39,34,29,51,27,10,30.54,76,43,21,16,56,0,9.1,199,7,474.02
9fc1570b,19,1,23906,1,1,129,32,0,33585,2024-07-27,10,39.55,395.5,101,4,17,48,26,50,26,27,34,7,5.0,86,12,5,39,55,3,5.4,30,11,345.68
1c4a40f3,72,1,205343,0,0,528,41,0,13000,2020-10-18,6,25.58,153.47,23,2,43,50,42,64,57,79,62,1,13.77,0,89,11,50,45,0,6.7,72,9,230.10000000000002
32fab673,65,0,14127,4,2,46,18,0,10464,2021-02-03,2,24.83,49.66,9,0,51,60,65,34,56,60,42,2,1.85,85,11,3,54,5,0,4.2,489,9,236.48
747fb22b,47,2,44060,2,2,296,8,0,11943,2022-08-04,9,21.94,197.47,109,0,33,58,55,31,32,47,65,3,7.64,8,83,1,60,51,1,6.5,158,14,256.17
29db4b5e,58,2,44880,4,0,188,27,0,33491,2023-02-20,3,15.0,45.0,77,4,47,50,56,45,24,25,53,2,4.22,68,30,5,28,65,1,5.8,65,9,141.15
4a2e4eda,74,1,32974,3,0,710,27,0,15428,2020-08-20,4,15.79,63.16,59,0,32,46,53,46,42,49,35,5,3.09,73,23,13,72,6,0,4.2,166,13,232.44
60e29679,71,1,57287,2,3,577,12,0,85304,2024-09-25,7,51.96,363.74,96,1,31,58,26,60,58,58,44,3,11.04,70,33,4,44,52,1,5.5,9,5,225.37
27cc5ee5,73,2,84131,2,0,911,35,0,27615,2021-11-28,5,64.93,324.67,40,5,42,38,19,15,36,20,12,0,16.31,42,65,3,33,60,0,6.0,22,12,698.46
58661c1f,66,0,68912,4,1,777,30,0,1084,2020-09-30,9,15.0,135.0,55,4,88,88,84,50,87,66,50,6,7.53,17,81,1,83,11,1,6.1,124,12,184.32
d371b840,18,1,53604,0,3,334,15,0,40527,2024-11-19,14,23.01,322.19,19,1,41,45,73,53,64,66,69,4,17.97,35,64,7,40,54,3,6.4,23,13,269.76
e5a01cbc,67,2,67533,4,2,623,31,0,93580,2020-04-27,8,106.6,852.8,7,3,49,13,15,27,38,37,41,3,18.43,63,37,5,57,3,2,5.9,74,11,1138.37
1a3faa13,66,2,108914,2,0,924,4,0,59448,2022-11-12,3,18.79,56.37,15,5,80,74,76,62,45,57,68,5,16.41,89,0,6,78,26,2,7.1,26,12,271.34
29a7f804,37,1,138766,0,0,168,45,0,8271,2023-08-27,10,26.64,266.4,42,2,31,27,11,8,24,34,14,6,32.43,51,41,20,55,70,0,9.0,12,9,224.45
1e67f66b,73,2,59664,2,3,718,44,0,8801,2025-03-03,2,63.45,126.91,59,2,75,91,82,91,80,95,81,5,4.36,30,61,1,58,18,5,5.4,6,11,633.47
6f3caec6,28,2,110251,3,0,184,6,0,86299,2024-10-12,6,64.55,387.28,56,2,42,52,40,48,20,40,34,7,19.07,71,25,3,50,46,0,8.5,6,15,1030.54
2893b6c2,22,2,100356,2,1,782,3,0,13926,2020-12-03,15,38.73,581.02,45,5,55,61,52,55,62,58,57,7,27.91,70,31,19,44,40,0,8.1,44,9,336.87
96b96046,67,2,87820,3,3,35,23,0,18828,2021-01-16,4,70.43,281.72,73,4,64,68,67,48,68,48,37,3,10.58,48,60,15,45,31,0,6.7,50,13,847.97
8996daee,68,0,17816,4,2,103,57,0,62237,2023-04-21,2,42.23,84.45,65,2,48,47,21,22,42,37,23,4,-2.63,56,44,1,75,0,1,4.4,145,8,297.77
d8343955,50,0,75600,3,2,896,2,0,32545,2022-10-02,7,36.58,256.07,117,4,53,61,79,71,73,50,44,4,17.15,45,46,19,48,24,1,7.5,163,6,223.18
eb348045,59,1,47849,2,1,832,2,0,65985,2021-04-22,7,87.26,610.84,57,0,66,72,43,56,56,51,57,3,16.73,40,68,3,33,31,3,5.6,43,13,1089.27
14a90d35,68,2,70174,1,2,516,50,0,7404,2023-06-05,3,27.84,83.51,13,4,67,61,59,81,52,64,48,3,15.13,52,42,9,76,15,1,6.0,59,13,292.5
852492a4,59,2,23971,3,1,85,22,0,692,2021-12-09,8,27.01,216.1,91,2,54,43,40,27,52,24,46,6,6.08,40,50,3,62,38,0,4.9,331,5,124.87
84d6893b,29,1,167923,1,3,284,2,0,57515,2024-03-13,6,15.47,92.84,29,3,13,27,15,41,43,42,11,10,18.69,75,27,11,72,53,1,8.8,8,9,137.9
a0f3bb7a,42,1,40027,0,1,405,17,0,43465,2020-08-12,12,49.98,599.8,89,4,61,79,53,77,74,66,79,4,12.09,65,35,1,60,66,1,6.7,132,8,393.0
c6d5f480,33,0,56868,3,1,685,50,0,83115,2023-03-19,9,75.14,676.24,87,4,57,46,52,60,61,54,38,6,19.27,90,12,12,52,54,2,7.4,3,9,733.02
fac12507,21,2,68621,3,0,844,46,0,81657,2022-03-02,9,55.83,502.5,120,2,78,52,63,50,55,62,73,5,16.78,84,12,12,62,31,0,6.9,64,12,499.29
2bb6f5cc,32,0,71944,1,2,457,18,0,21423,2022-12-13,5,96.88,484.41,7,0,55,47,56,37,55,46,33,2,7.62,24,78,14,64,24,0,7.8,62,11,905.88
24918d36,68,1,96293,0,2,535,1,0,43982,2023-09-01,5,86.64,433.21,118,0,52,74,72,83,44,49,45,6,14.57,19,81,12,62,89,1,7.1,45,11,1037.8799999999999
06ca7af6,51,0,125120,2,0,267,13,0,23484,2023-12-11,11,32.77,360.5,39,2,18,29,43,42,32,7,10,7,18.87,88,25,1,49,56,1,8.3,99,10,275.18
fc9dd92e,19,2,188234,4,1,751,17,0,33208,2021-03-31,4,46.54,186.18,19,5,27,66,49,42,63,53,38,3,14.5,58,39,1,55,16,0,8.1,274,9,428.01
a55db17e,22,2,62394,4,2,906,5,0,45302,2023-02-01,1,15.0,15.0,112,0,42,26,25,18,3,24,6,1,9.54,44,58,3,60,56,1,7.1,82,8,104.42999999999999
648624fe,65,0,55267,0,2,109,15,0,13072,2023-04-20,4,46.46,185.83,70,5,63,81,82,92,63,60,56,4,5.93,75,19,1,30,0,3,5.7,51,14,631.22
53b208c7,30,1,47027,0,2,748,18,0,35701,2023-07-04,6,39.08,234.46,120,5,57,66,62,48,34,44,50,4,12.4,26,74,5,54,44,1,6.9,143,8,341.77
a33f3ea1,35,1,56994,1,3,657,4,0,55993,2020-04-15,10,39.81,398.14,52,1,52,49,39,59,59,51,61,4,18.46,18,76,6,65,29,2,7.3,184,13,480.46
e0f99903,45,2,150258,0,0,463,30,0,86325,2023-06-23,9,23.47,211.22,14,2,38,39,48,58,47,30,48,13,18.67,26,65,7,28,44,0,8.6,5,13,285.44
240f16d9,45,0,115284,2,2,254,16,0,58397,2021-07-06,9,87.7,789.33,82,0,55,33,24,32,61,51,25,8,19.71,9,97,7,43,43,1,8.4,212,8,635.95
4317d472,41,0,34576,4,2,941,38,0,23777,2021-11-18,5,20.29,101.45,20,1,51,51,56,32,64,36,61,8,3.82,36,73,2,36,34,2,6.4,33,10,217.84
fb080f97,33,1,53660,2,1,269,34,0,49846,2022-06-23,5,74.41,372.07,67,0,93,65,74,74,86,71,97,5,13.07,33,67,21,55,55,1,7.1,61,8,679.71
777f2d6a,26,1,47860,3,1,185,48,0,65692,2021-04-11,9,15.0,135.0,57,2,71,73,55,86,85,69,70,6,16.33,95,9,9,67,37,1,6.7,31,13,172.82
9a5e1ffe,50,1,38068,2,1,900,53,0,40751,2020-10-31,12,15.0,180.0,18,3,81,51,73,85,86,73,79,5,12.89,87,13,14,86,40,1,6.2,337,7,120.33000000000001
64a982e5,74,1,159298,2,0,814,23,0,83666,2023-01-16,9,26.51,238.57,92,1,63,56,56,66,34,38,50,4,18.31,68,39,12,40,47,3,6.9,0,10,292.33
5d90175a,40,1,71377,4,1,358,24,0,17400,2020-12-20,5,72.87,364.33,17,0,35,39,65,41,51,42,42,4,15.44,29,68,13,42,36,1,7.9,22,10,764.09
9be8ad1a,75,0,54742,2,0,301,43,0,6787,2024-03-04,3,24.49,73.48,82,4,25,57,36,56,51,22,49,4,6.27,72,43,1,69,0,3,5.0,36,13,335.72
1d761f61,28,2,13230,4,0,665,32,0,26934,2020-07-20,7,30.91,216.34,119,4,3,7,4,38,18,15,38,3,10.16,51,48,1,45,19,1,5.7,329,4,104.95
07742ef7,74,2,39687,4,0,579,5,0,95339,2021-09-04,0,52.3,0.0,39,0,40,34,44,19,18,25,43,1,10.38,45,54,1,49,37,0,4.6,15,12,474.58000000000004
c7cd3ae3,56,1,30548,1,0,390,9,0,53031,2021-02-27,8,15.0,120.0,111,5,33,48,57,60,31,45,40,5,12.64,44,57,2,59,28,3,5.2,144,12,171.49
48fbb809,27,1,66281,2,0,307,11,0,54408,2023-02-14,8,29.7,237.57,111,4,41,36,46,62,46,38,36,5,19.17,55,54,5,64,41,0,7.5,12,14,423.93
e2027a7d,74,0,97292,3,2,937,2,0,66945,2024-10-08,8,81.14,649.12,51,4,44,42,66,51,32,32,47,3,14.1,59,55,4,62,26,0,6.6,29,11,846.95
80a093cc,52,1,27927,2,3,695,40,0,81733,2024-07-10,1,15.0,15.0,113,5,69,71,69,48,71,49,82,3,7.46,57,50,5,67,20,2,5.5,45,5,64.13
64e1758b,22,0,85621,4,3,687,9,0,59549,2020-12-27,7,62.53,437.74,71,5,91,91,59,60,58,77,75,3,10.4,79,27,3,50,45,1,7.7,288,5,329.36
53f3c4d2,66,1,65295,0,3,164,51,0,98598,2022-06-21,5,35.73,178.63,6,2,10,23,32,35,31,11,40,4,13.34,83,10,7,52,15,0,6.2,34,9,327.72
fb2d6d59,38,1,49633,3,0,139,21,0,90074,2021-12-12,11,26.63,292.89,44,4,85,87,84,89,72,83,54,4,11.37,29,66,10,48,56,0,7.3,46,9,238.7
02afd91d,37,2,164687,2,3,574,46,0,58574,2023-10-15,6,49.37,296.22,84,4,50,39,73,66,46,69,76,5,12.06,74,21,11,37,62,1,8.8,11,6,338.97
c5f160ac,20,2,26928,2,1,58,37,0,75562,2025-03-03,5,39.35,196.74,57,5,35,52,39,52,58,65,56,7,18.58,78,6,5,68,0,1,5.8,0,14,488.96000000000004
a70c2d67,31,2,125751,1,3,18,13,0,49647,2022-04-30,12,59.0,708.02,49,5,40,45,32,45,33,27,50,4,19.72,45,49,10,46,76,0,9.0,104,8,537.82
54ba6919,37,1,48129,1,0,604,22,0,5466,2021-04-28,8,34.21,273.72,27,1,76,65,75,67,80,62,63,8,5.35,19,89,14,31,55,0,7.2,266,11,365.64
eabbd2b7,70,0,27913,0,0,260,36,0,20990,2025-01-14,1,18.37,18.37,37,1,27,33,21,35,18,17,39,1,-2.22,34,70,13,70,67,2,4.3,7,11,204.62
29d54a66,24,2,54472,4,1,126,44,0,7629,2023-12-01,8,61.68,493.47,7,1,90,71,97,71,60,63,83,1,14.35,38,59,13,69,30,1,6.7,4,12,710.8
ab4bf5c0,18,2,100561,0,3,238,51,0,77069,2021-08-12,12,65.13,781.61,120,0,42,48,50,48,33,35,66,5,24.05,14,71,1,31,34,0,8.1,2,13,897.02
db033fbd,74,1,84094,2,3,668,25,0,71098,2020-11-09,10,15.0,150.0,64,3,77,61,59,78,95,97,65,5,22.41,92,6,10,59,24,2,6.3,269,9,127.57
e597ef30,59,2,82886,4,3,344,57,0,67889,2020-04-15,13,15.0,195.0,18,4,46,41,36,50,39,58,45,8,22.97,61,28,16,55,48,1,7.0,35,12,168.57
9f0f9b3d,54,2,75139,0,1,414,42,0,71850,2021-11-06,4,19.83,79.3,110,1,82,84,89,77,62,82,63,8,22.01,12,86,8,49,39,2,7.0,528,6,88.4
df9b0d7a,33,1,47126,1,3,264,12,0,47978,2023-12-15,9,15.0,135.0,58,5,40,58,57,21,37,44,36,4,21.89,0,97,2,67,24,1,7.0,86,7,100.83
487ce642,28,0,42116,4,0,223,47,0,2941,2021-05-28,9,60.57,545.15,16,1,76,81,97,72,72,66,88,4,15.91,24,85,9,51,22,0,6.7,8,10,642.09
e9aa4e0b,62,2,127618,3,1,476,36,0,81077,2021-01-01,8,20.35,162.79,32,1,86,53,81,76,81,71,52,4,15.86,84,0,11,51,27,2,7.6,14,9,176.51999999999998
55080b80,75,2,89832,0,1,852,45,0,11487,2024-05-09,8,15.0,120.0,42,4,35,41,65,59,33,60,56,8,5.28,84,13,11,61,33,2,6.5,3,9,118.28
d1b21591,44,0,38863,4,2,194,40,0,73581,2022-02-21,6,26.74,160.43,60,1,70,52,76,67,51,64,88,5,13.55,10,93,6,42,18,0,6.1,17,10,282.71
c4414baf,52,1,140436,2,3,98,18,0,49107,2025-02-05,11,33.89,372.82,37,0,19,37,34,35,39,35,35,11,19.03,15,85,10,45,68,1,8.0,0,16,542.4399999999999
8a57f194,25,1,89785,4,3,214,28,0,77319,2022-04-23,12,35.19,422.28,17,1,14,15,33,43,48,41,48,8,18.03,34,59,18,36,54,0,8.2,21,13,421.16
121c3d6f,40,1,42396,1,1,236,57,0,45021,2020-05-14,8,33.64,269.11,93,2,28,41,3,17,15,6,8,2,14.76,63,49,10,40,44,0,6.5,89,12,354.96000000000004
10fb794e,33,2,34802,2,3,499,55,0,90037,2022-10-25,11,15.0,165.0,30,4,16,21,45,31,27,49,33,6,17.37,57,39,14,52,44,2,6.6,129,10,137.98
99b38b35,74,1,75873,4,1,866,8,0,7598,2022-12-16,4,15.0,60.0,39,5,38,40,14,43,30,38,34,0,14.86,5,100,11,38,27,0,6.0,42,9,138.8
4ce16d9a,68,2,52026,1,3,439,34,0,28095,2022-12-26,4,37.01,148.02,20,5,35,58,54,39,38,43,33,1,1.84,71,26,2,73,65,1,5.5,111,10,334.63
bb56fc76,44,2,152586,4,1,650,33,0,94946,2023-02-05,13,57.94,753.2,32,5,34,18,41,36,18,47,25,8,25.06,7,100,11,32,35,1,8.7,37,11,582.54
8cc0e21f,20,1,15640,0,1,231,11,0,10778,2022-08-03,2,30.45,60.89,27,5,19,32,31,26,49,34,57,4,13.7,72,26,5,65,26,1,5.4,144,10,301.81
ef39b9f6,38,0,53132,3,3,343,55,0,92342,2022-04-14,9,79.94,719.44,84,5,35,42,51,50,48,25,49,6,22.11,76,19,8,20,55,0,7.2,32,8,694.54
